report,label,authority
بلاغ وارد يتضمن غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة حريق ويجب التحرك في حي الورد,حريق,الدفاع المدني
بلاغ عن مخالفات تجارية في حي السلام بالقرب من المنطقة الصناعية,مخالفات تجارية,وزارة التجارة
مواطن يبلغ عن سرقة في حي النرجس,سرقة,الشرطة
مواطن يبلغ عن بلاغ إرهابي في حي السلام,بلاغ إرهابي,أمن الدولة
بلاغ وارد يتضمن غذاء فاسد في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
وجود مواد منتهية وتم طلب التدخل في حي الخليج,مواد منتهية,وزارة التجارة
تم رصد بلاغ إرهابي في منطقة الطريق السريع,بلاغ إرهابي,أمن الدولة
تم الإبلاغ عن ازدحام مروري في حي الصحافة,ازدحام مروري,المرور
بلاغ عاجل عن تهريب الآن في حي الفلاح,تهريب,الجمارك
تم رصد حادثة بحرية في منطقة المنطقة السكنية,حادثة بحرية,حرس الحدود
بلاغ عاجل عن تلوث مياه الآن في حي النرجس,تلوث مياه,وزارة البيئة
تم الإبلاغ عن تهريب في حي النرجس,تهريب,الجمارك
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الياسمين,تلوث مياه,وزارة البيئة
بلاغ عاجل عن تهريب الآن في حي الياسمين,تهريب,الجمارك
بلاغ عاجل عن غذاء فاسد الآن في حي الرياض,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن انفجار الآن في حي الياسمين,انفجار,الدفاع المدني
تم رصد بلاغ إرهابي في منطقة المسجد,بلاغ إرهابي,أمن الدولة
اشتباه بحدوث حادثة بحرية في حي الورد,حادثة بحرية,حرس الحدود
وجود غذاء فاسد وتم طلب التدخل في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن مخالفات تجارية الآن في حي الخليج,مخالفات تجارية,وزارة التجارة
بلاغ عن بلاغ إرهابي في حي النرجس بالقرب من المنطقة السكنية,بلاغ إرهابي,أمن الدولة
شوهد تهريب عند السوق في حي الجامعة,تهريب,الجمارك
شوهد تلوث مياه عند المستشفى في حي السلام,تلوث مياه,وزارة البيئة
شوهد مواد منتهية عند الطريق السريع في حي الورد,مواد منتهية,وزارة التجارة
شوهد تهريب عند المسجد في حي النخيل,تهريب,الجمارك
شوهد غذاء فاسد عند المدرسة في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن سطو مسلح في حي الياسمين,سطو مسلح,الشرطة
بلاغ عاجل عن مشاجرة الآن في حي الرياض,مشاجرة,الشرطة
بلاغ عن تهديد أمني في حي الياسمين بالقرب من السوق,تهديد أمني,أمن الدولة
اشتباه بحدوث مخالفات تجارية في حي الياسمين,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث تهريب في حي النخيل,تهريب,الجمارك
تم الإبلاغ عن تهريب في حي الرياض,تهريب,الجمارك
مواطن يبلغ عن غرق في حي الورد,غرق,حرس الحدود
مواطن يبلغ عن تهريب في حي الرياض,تهريب,الجمارك
تم رصد تهريب في منطقة المسجد,تهريب,الجمارك
بلاغ عن سرقة في حي النخيل بالقرب من المنطقة الصناعية,سرقة,الشرطة
وجود مخالفات تجارية وتم طلب التدخل في حي الرياض,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن حادثة بحرية في حي النخيل,حادثة بحرية,حرس الحدود
شوهد حادث مروري عند المستشفى في حي النخيل,حادث مروري,المرور
بلاغ عن مخالفات تجارية في حي الجامعة بالقرب من المنطقة السكنية,مخالفات تجارية,وزارة التجارة
بلاغ عاجل عن غرق الآن في حي السلام,غرق,حرس الحدود
شوهد حريق عند المسجد في حي السلام,حريق,الدفاع المدني
بلاغ عاجل عن حادثة بحرية الآن في حي النرجس,حادثة بحرية,حرس الحدود
اشتباه بحدوث تسرب غاز في حي النخيل,تسرب غاز,الدفاع المدني
بلاغ عاجل عن غرق الآن في حي الورد,غرق,حرس الحدود
تم رصد حادثة بحرية في منطقة السوق,حادثة بحرية,حرس الحدود
بلاغ عن مواد منتهية في حي النخيل بالقرب من السوق,مواد منتهية,وزارة التجارة
تم الإبلاغ عن حريق في حي النرجس,حريق,الدفاع المدني
مواطن يبلغ عن حيوان ضال في حي النرجس,حيوان ضال,البلدية
شوهد مواد منتهية عند المركز التجاري في حي الجامعة,مواد منتهية,وزارة التجارة
مواطن يبلغ عن تلوث مياه في حي النرجس,تلوث مياه,وزارة البيئة
اشتباه بحدوث تهريب في حي النخيل,تهريب,الجمارك
اشتباه بحدوث تهريب في حي الجامعة,تهريب,الجمارك
تم رصد تعطل طريق سريع في منطقة المنطقة الصناعية,تعطل طريق سريع,المرور
اشتباه بحدوث حيوان ضال في حي السلام,حيوان ضال,البلدية
تمت ملاحظة حالة ازدحام مروري ويجب التحرك في حي الياسمين,ازدحام مروري,المرور
تمت ملاحظة حالة تعطل طريق سريع ويجب التحرك في حي النخيل,تعطل طريق سريع,المرور
تمت ملاحظة حالة ماس كهربائي ويجب التحرك في حي الرياض,ماس كهربائي,الدفاع المدني
بلاغ عاجل عن مواد منتهية الآن في حي الورد,مواد منتهية,وزارة التجارة
وجود تهديد أمني وتم طلب التدخل في حي الفلاح,تهديد أمني,أمن الدولة
تم رصد غذاء فاسد في منطقة السوق,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث حادثة بحرية في حي النخيل,حادثة بحرية,حرس الحدود
بلاغ عاجل عن غذاء فاسد الآن في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن تهريب في حي الصحافة بالقرب من السوق,تهريب,الجمارك
وجود تلوث مياه وتم طلب التدخل في حي النخيل,تلوث مياه,وزارة البيئة
بلاغ عاجل عن تهريب الآن في حي الرياض,تهريب,الجمارك
شوهد غذاء فاسد عند السوق في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
وجود حيوان ضال وتم طلب التدخل في حي الرياض,حيوان ضال,البلدية
بلاغ عاجل عن مواد منتهية الآن في حي السلام,مواد منتهية,وزارة التجارة
وجود حيوان ضال وتم طلب التدخل في حي الورد,حيوان ضال,البلدية
شوهد حيوان ضال عند المجمع التجاري في حي السلام,حيوان ضال,البلدية
بلاغ عن تهديد أمني في حي السلام بالقرب من المركز التجاري,تهديد أمني,أمن الدولة
